twitter_username,twitter_userid,domain,name,followers_count,tweet_count
oceara,1451338682674434052,oceara.com.br,Ceará - Wellington,0,0
LanaDelRey,,lanadelrey.com,Lana Del Rey,,
officialjaden,,MSFTSrep.com,Jaden Smith,,
DrBassemYoussef,,,Dr Bassem Youssef,,
lilyallen,,lilyallenmusic.com,lily,,
Ahlam_Alshamsi,,ahlam-alshamsi.com,Ahlam - احلام,,
CasillasWorld,789098308157468672,ikercasillasworld.com,Iker Casillas,0,1
RedHourBen,,,Ben Stiller,,
siwon407,890533723946364928,N407.com,SIWON CHOI,0,0
TiagoLeifert,,,Tiago Leifert,,
msleamichele,,,Lea Michele,,
yelyahwilliams,,smarturl.it,hayley from Paramore,,
montesjulia,1321093806016647177,,Julia Montes,0,50
BillCosby,,BillCosby.com,Bill Cosby,,
lordemusic,4532878896,lordemusic.tumblr.com,Lorde,0,0
Jenna_Marbles,,youtube.com,Jenna Mourey/Marbles,,
samsmithworld,,,SAM SMITH,,
FreddyAmazin,,FREDDYAMAZIN.COM,FREDDY,,
TheMattEspinosa,,CREATIVECOLLABTOUR.com,Matthew Espinosa,,
blakegriffin32,,blakegriffin.com,Blake Griffin,,
laliespos,,,Lali Esposito,,
missA_suzy,,missaworld.com,숮이,,
MPOFFICIAL,,mpokoramusic.fr,Matt Pokora,,
S_C_,,,Mr. Carter,,
RealTracyMorgan,,,Tracy Morgan,,
rickyrozay,,smarturl.it,BlackBottleBoy,,
huryazarlar,,hurriyet.com.tr,Hürriyet Yazarlar,,
lnsaneTweets,,,Can u not,,
mark_wahlberg,,,Mark Wahlberg,,
PointlessBlog,,YouTube.com,Alfie Deyes,,
Elovera22,,emiliolovera.com,Emilio Lovera,,
marceloadnet0,,gshow.com,Marcelo Adnet,,
carocruzosorio,,,Carolina Cruz Osorio,,
fucktyler,,golfwang.com,"Tyler, The Creator",,
JackJackJohnson,,itun.es,Jack Johnson,,
MannyPacquiaoTR,,,Manny Pacquiao,,
MsLaurenLondon,,,Lauren London,,
wandaicardi,,,Wanda Icardi,,
S1dharthM,,,Sidharth Malhotra,,
superstarrajini,,,Rajinikanth,,
MikeVick,,fanduel.com,Mike Vick,,
